,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
53591,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-15,03:11:00,AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB)
53604,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-15,01:32:00,AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB)
53605,MALTRATO ANIMAL,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-17,18:20:00,MIGUEL HIDALGO,OBSERVATORIO
53608,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-14,21:10:00,ALVARO OBREGON,MARTIRES DE TACUBAYA
53624,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Mayo,2022-05-27,12:00:00,MIGUEL HIDALGO,GRANADA (AMPL)
53627,ROBO A REPARTIDOR CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,11:10:00,IZTAPALAPA,EJERCITO DE AGUA PRIETA
53635,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,18:50:00,CUAUHTEMOC,CENTRO IV
53659,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,19:47:00,CUAUHTEMOC,BUENAVISTA II
53663,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,20:10:00,MIGUEL HIDALGO,TACUBAYA
53676,DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,19:40:00,CUAJIMALPA DE MORELOS,LOMAS DE VISTA HERMOSA
53688,MALTRATO ANIMAL,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-15,12:00:00,BENITO JUAREZ,NARVARTE IV
